Customer ID,Gender,Region,Age,Product Name,Category,Unit Price,Quantity,Total Price,Shipping Fee,Shipping Status,Order Date
CUST0268,Male,North,47,Monitor,Electronics,300,5,1500,13.31,Returned,12/8/2023
CUST0046,Male,West,22,Headphones,Accessories,100,2,200,6.93,In Transit,4/9/2023
CUST0169,Female,South,54,Monitor,Electronics,300,1,300,11.31,Returned,8/28/2023
CUST0002,Male,North,23,Headphones,Accessories,100,5,500,12.22,Delivered,1/18/2023
CUST0173,Female,South,47,Laptop,Electronics,1500,3,4500,5.4,Delivered,1/19/2023
CUST0147,Male,North,64,Smartwatch,Wearables,200,2,400,11.26,In Transit,1/11/2023
CUST0262,Male,East,27,Smartwatch,Wearables,200,1,200,18.38,In Transit,10/23/2023
CUST0159,Female,South,18,Keyboard,Accessories,50,2,100,15.08,Returned,6/15/2023
CUST0023,Male,West,29,Headphones,Accessories,100,3,300,10.7,Delivered,4/23/2023
CUST0201,Female,East,49,Headphones,Accessories,100,2,200,9.8,Returned,6/1/2023
CUST0283,Female,West,67,Mouse,Accessories,30,3,90,5.65,In Transit,9/13/2023
CUST0199,Female,West,41,Keyboard,Accessories,50,5,250,7.13,Delivered,2/17/2023
CUST0039,Male,South,60,Keyboard,Accessories,50,4,200,10.91,Returned,12/10/2023
CUST0276,Male,West,66,Mouse,Accessories,30,1,30,11.36,In Transit,6/29/2023
CUST0143,Female,unknown,36,Smartwatch,Wearables,200,3,600,7.89,Delivered,7/14/2023
CUST0139,Male,North,57,Laptop,Electronics,1500,4,6000,10.92,In Transit,5/13/2023
CUST0210,Male,South,30,Smartphone,Electronics,800,2,1600,11.44,Returned,6/9/2023
CUST0293,Female,East,32,Smartwatch,Wearables,200,5,1000,7.16,In Transit,6/21/2023
CUST0049,Female,West,59,Monitor,Electronics,300,4,1200,17.37,In Transit,11/26/2023
CUST0196,Female,South,37,Mouse,Accessories,30,3,90,19.41,Returned,12/27/2023
CUST0050,Male,North,47,Mouse,Accessories,30,3,90,6.97,Returned,6/6/2023
CUST0007,Female,East,52,Headphones,Accessories,100,2,200,12,In Transit,10/28/2023
CUST0242,Male,North,58,Smartphone,Electronics,800,4,3200,18.11,In Transit,12/30/2023
CUST0042,Female,South,57,Keyboard,Accessories,50,1,50,9.6,Delivered,12/4/2023
CUST0264,Male,East,59,Smartphone,Electronics,1658.4323266595475,2,1600,11.59,In Transit,2/1/2023
CUST0053,Female,North,25,Smartwatch,Wearables,200,1,200,14.9,Delivered,8/14/2023
CUST0154,Female,East,31,Smartphone,Electronics,800,1,800,19.22,In Transit,12/7/2023
CUST0190,Male,North,28,Keyboard,Accessories,50,4,200,15.31,Delivered,6/28/2023
CUST0038,Female,East,57,Monitor,Electronics,300,2,600,12.38,Returned,11/17/2023
CUST0288,Female,South,47,Laptop,Electronics,1500,4,6000,12.91,Delivered,1/25/2023
CUST0124,Female,South,53,Monitor,Electronics,300,2,600,18.38,In Transit,9/5/2023
CUST0298,Female,South,58,Headphones,Accessories,100,5,500,7.41,Delivered,9/17/2023
CUST0211,Female,South,35,Mouse,Accessories,30,3,90,11.42,Delivered,12/25/2023
CUST0060,Male,North,41,Laptop,Electronics,1500,4,6000,7.13,Delivered,1/14/2023
CUST0284,Female,West,64,Monitor,Electronics,300,1,300,6.55,Returned,8/1/2023
CUST0282,Male,North,47,Smartphone,Electronics,800,2,1600,9.72,Delivered,2/12/2023
CUST0205,Female,South,43,Monitor,Electronics,300,2,600,18.27,In Transit,5/18/2023
CUST0222,Female,unknown,61,Smartphone,Electronics,800,2,1600,6.01,Returned,10/3/2023
CUST0299,Male,East,58,Keyboard,Accessories,50,2,100,9.57,Returned,8/30/2023
CUST0064,Male,West,61,Monitor,Electronics,300,1,300,13.82,Returned,9/15/2023
CUST0073,Male,East,19,Keyboard,Accessories,50,4,200,5.32,Delivered,2/14/2023
CUST0081,Male,North,38,Monitor,Electronics,300,1,300,17.22,Returned,8/13/2023
CUST0247,Male,East,44,Headphones,Accessories,100,2,200,8.15,In Transit,5/9/2023
CUST0130,Male,East,68,Monitor,Electronics,300,2,600,9.56,In Transit,12/23/2023
CUST0178,Male,West,44,Smartwatch,Wearables,200,3,600,18.09,In Transit,10/28/2023
CUST0131,Female,West,67,Laptop,Electronics,1500,4,6000,7.01,Delivered,9/1/2023
CUST0070,Male,West,23,Monitor,Electronics,300,3,900,12.58,Returned,4/16/2023
CUST0122,Male,West,68,Headphones,Accessories,100,2,200,13.49,In Transit,12/13/2023
CUST0168,Female,East,42,Monitor,Electronics,300,4,1200,18.15,In Transit,3/27/2023
CUST0176,Male,South,51,Laptop,Electronics,1500,2,3000,7.43,Delivered,11/16/2023
CUST0125,Female,South,46,Smartphone,Electronics,800,5,4000,10.62,Returned,1/26/2023
CUST0165,Female,West,49,Keyboard,Accessories,50,4,200,19.72,In Transit,12/25/2023
CUST0057,Male,North,62,Keyboard,Accessories,50,4,200,12.79,Delivered,9/29/2023
CUST0207,Male,South,54,Laptop,Electronics,1500,1,1500,5.16,Delivered,3/14/2023
CUST0167,Female,North,67,Headphones,Accessories,100,2,200,11.65,Returned,12/14/2023
CUST0006,Male,South,52,Laptop,Electronics,1500,5,7500,19.69,In Transit,9/17/2023
CUST0041,Male,East,64,Smartphone,Electronics,800,4,3200,17.27,In Transit,8/8/2023
CUST0112,Male,North,33,Monitor,Electronics,300,4,1200,14.88,Delivered,4/12/2023
CUST0244,Female,West,24,Headphones,Accessories,100,3,300,8.49,In Transit,2/21/2023
CUST0218,Male,East,36,Headphones,Accessories,100,2,200,7.71,Returned,11/3/2023
CUST0083,Male,East,28,Monitor,Electronics,300,1,300,17.98,Returned,1/3/2024
CUST0065,Female,East,47,Headphones,Accessories,100,2,200,13.06,Returned,2/5/2023
CUST0096,Female,unknown,61,Smartphone,Electronics,800,4,3200,11.79,In Transit,2/7/2023
CUST0045,Male,East,21,Mouse,Accessories,30,1,30,6.17,In Transit,10/23/2023
CUST0296,Female,North,50,Keyboard,Accessories,50,2,100,13.82,In Transit,7/25/2023
CUST0261,Male,West,48,Laptop,Electronics,1500,5,7500,15.95,Returned,10/1/2023
CUST0077,Male,South,50,Keyboard,Accessories,50,5,250,10.89,Delivered,3/19/2023
CUST0227,Female,West,54,Keyboard,Accessories,50,4,200,9.22,Returned,10/5/2023
CUST0245,Male,North,63,Mouse,Accessories,30,1,30,13.28,Returned,9/11/2023
CUST0133,Female,North,47,Smartphone,Electronics,800,1,800,11.29,Returned,10/28/2023
CUST0179,Male,North,45,Keyboard,Accessories,50,2,100,19.04,Delivered,3/16/2023
CUST0022,Female,North,33,Smartwatch,Wearables,200,2,400,10.07,Delivered,11/21/2023
CUST0269,Female,East,64,Laptop,Electronics,1500,5,7500,6.53,Returned,12/3/2023
CUST0181,Male,East,59,Smartwatch,Wearables,200,3,600,9.82,In Transit,2/8/2023
CUST0170,Female,South,40,Mouse,Accessories,30,5,150,8.64,Delivered,12/22/2023
CUST0182,Male,West,47,Monitor,Electronics,300,5,1500,7.77,In Transit,10/24/2023
CUST0219,Male,unknown,48,Mouse,Accessories,62.191212249733034,2,60,7.4,Returned,8/20/2023
